,Attraction,Category,Subclass,Address,Gu,Good_Point,Selected_People,Participants
0,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,뷰가 좋아요,22,56.0
1,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,관리가 잘 되어있어요,21,56.0
2,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,볼거리가 많아요,14,56.0
3,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,사진이 잘 나와요,12,56.0
4,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,산책로가 잘 되어있어요,12,56.0
5,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,편의시설이 잘 되어있어요,9,56.0
6,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,먹거리가 풍부해요,7,56.0
7,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,가격이 합리적이에요,7,56.0
8,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,방문객이 많아요,5,56.0
9,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,체험 프로그램이 다양해요,5,56.0
10,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,주차하기 편해요,4,56.0
11,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,컨셉이 독특해요,2,56.0
12,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,붐비지 않아요,2,56.0
13,동대문역사문화공원,관광,"도시,테마공원",서울특별시 중구 신당동 853,중구,유익해요,1,56.0
14,서울식물원,관광,"식물원,수목원",서울특별시 강서구 마곡동로 161 서울식물원,강서구,신기한 식물이 많아요,2870,5204.0
15,서울식물원,관광,"식물원,수목원",서울특별시 강서구 마곡동로 161 서울식물원,강서구,산책로가 잘 되어있어요,2757,5204.0
16,서울식물원,관광,"식물원,수목원",서울특별시 강서구 마곡동로 161 서울식물원,강서구,볼거리가 많아요,2666,5204.0
17,서울식물원,관광,"식물원,수목원",서울특별시 강서구 마곡동로 161 서울식물원,강서구,사진이 잘 나와요,1101,5204.0
